date,HeV-A26 occupancy,Other occupancy,Capacity,Total occupancy
2027-06-18,153,643,1100,796
2027-06-19,154,650,1100,804
2027-06-20,155,650,1100,805
2027-06-21,156,650,1100,806
2027-06-22,157,645,1100,802
2027-06-23,157,651,1100,808
2027-06-24,157,646,1100,803
2027-06-25,157,651,1100,808
2027-06-26,156,645,1100,801
2027-06-27,155,652,1100,807
2027-06-28,154,651,1100,805
2027-06-29,154,657,1100,811
2027-06-30,154,648,1100,802
2027-07-01,154,655,1100,809
2027-07-02,154,657,1100,811
2027-07-03,154,659,1100,813
2027-07-04,154,652,1100,806
2027-07-05,154,651,1100,805
2027-07-06,154,649,1100,803
2027-07-07,154,656,1100,810
2027-07-08,154,655,1100,809
2027-07-09,154,656,1100,810
2027-07-10,154,654,1100,808
2027-07-11,154,653,1100,807
2027-07-12,154,662,1100,816
2027-07-13,154,661,1100,815
2027-07-14,154,665,1100,819
2027-07-15,154,666,1100,820
2027-07-16,155,666,1100,821
2027-07-17,156,677,1100,833
2027-07-18,157,668,1100,825
2027-07-19,158,669,1100,827
2027-07-20,159,662,1100,821
2027-07-21,160,667,1100,827
2027-07-22,161,665,1100,826
2027-07-23,162,667,1100,829
2027-07-24,163,674,1100,837
2027-07-25,164,671,1100,835
2027-07-26,165,671,1100,836
2027-07-27,166,663,1100,829
2027-07-28,167,677,1100,844
2027-07-29,168,673,1100,841
2027-07-30,169,666,1100,835
2027-07-31,170,664,1100,834
2027-08-01,171,662,1100,833
2027-08-02,172,664,1100,836
2027-08-03,173,662,1100,835
2027-08-04,174,676,1100,850
2027-08-05,175,678,1100,853
2027-08-06,176,674,1100,850
2027-08-07,177,671,1100,848
2027-08-08,178,664,1100,842
2027-08-09,179,675,1100,854
2027-08-10,180,668,1100,848
2027-08-11,181,668,1100,849
2027-08-12,182,667,1100,849
2027-08-13,183,676,1100,859
2027-08-14,184,676,1100,860
2027-08-15,185,677,1100,862
